Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,Market,Name
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,66740.0,1902,US,3M Company
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,91142.0,1916,US,A. O. Smith Corporation
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1957-03-04,1800.0,1888,US,Abbott Laboratories
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2012-12-31,1551152.0,2013 (1888),US,AbbVie Inc.
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1467373.0,1989,US,Accenture plc
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,796343.0,1982,US,Adobe Inc.
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,2488.0,1969,US,
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,874761.0,1981,US,The AES Corporation
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,4977.0,1955,US,Aflac Incorporated
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,1090872.0,1999,US,"Agilent Technologies, Inc."
APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,2969.0,1940,US,"Air Products and Chemicals, Inc."
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2023-09-18,1559720.0,2008,US,"Airbnb, Inc."
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,1086222.0,1998,US,"Akamai Technologies, Inc."
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,915913.0,1994,US,Albemarle Corporation
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2017-03-20,1035443.0,1994,US,"Alexandria Real Estate Equities, Inc."
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",2017-06-19,1097149.0,1997,US,"Align Technology, Inc."
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241.0,1908,US,Allegion plc
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,352541.0,1917,US,Alliant Energy Corporation
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",1995-07-13,899051.0,1931,US,The Allstate Corporation
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1652044.0,1998,US,Alphabet Inc.
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1652044.0,1998,US,Alphabet Inc.
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,764180.0,1985,US,"Altria Group, Inc."
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",2005-11-18,1018724.0,1994,US,"Amazon.com, Inc."
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",2019-06-07,1748790.0,2019 (1860),US,Amcor plc
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,1002910.0,1902,US,Ameren Corporation
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,4904.0,1906,US,"American Electric Power Company, Inc."
AXP,American Express,Financials,Consumer Finance,"New York City, New York",1976-06-30,4962.0,1850,US,American Express Company
AIG,American International Group,Financials,Multi-line Insurance,"New York City, New York",1980-03-31,5272.0,1919,US,"American International Group, Inc."
AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,1053507.0,1995,US,American Tower Corporation
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",2016-03-04,1410636.0,1886,US,"American Water Works Company, Inc."
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,820027.0,1894,US,"Ameriprise Financial, Inc."
